TaxonId,Organismgrupp,Svenska,Latin,R20,ÅGP,Tu,Si,N2,AD,FD,ASF,0.5,PFS,Ca,SV,Sk,Information
1899,Kärlväxter,atlantnäckros,Nymphaea alba subsp. occidentalis,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D1
1900,Kärlväxter,sandtimotej,Phleum arenarium,Sårbar VU,,,,x,,,,,,,H-MH,,"Rödlistekriterium 2020: B2ab(ii,iii,iv,v)c(iv)

Grå dyner (2130)

Signalvärde: Högt-Mycket högt"
1901,Kärlväxter,dvärgkämpar,Plantago tenuiflora,Nära hotad NT,,,,x,,,,,,,0-0,,"Rödlistekriterium 2020: B1ab(iv)+2ab(iv)

Alvar (6280)"
1902,Kärlväxter,stolt trampört,Polygonum aviculare subsp. excelsius,Nära hotad NT,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(ii,iii,iv,v)"
1903,Kärlväxter,bandnate,Potamogeton compressus,Sårbar VU,,,,x,,,,,,,0-0,,"Rödlistekriterium 2020: A2b+4ab

Naturligt näringsrika sjöar (3150)"
1904,Kärlväxter,uddnate,Potamogeton friesii,Nära hotad NT,,,,x,,,,,,,0-0,,"Rödlistekriterium 2020: A2b; B2ab(ii,iii,v)

Laguner (1150)"
1905,Kärlväxter,slidnate,Stuckenia vaginata,Nära hotad NT,,,,x,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(iii,v)

Stora vikar och sund (1160)"
1906,Kärlväxter,revig blodrot,Potentilla anglica,Sårbar VU,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: A2b; B2ab(i,ii,iii,v)"
1907,Kärlväxter,klippfingerört,Potentilla chamissonis,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D1
1909,Kärlväxter,backfingerört,Potentilla sterneri,Nära hotad NT,,,,x,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(iii,v)

Kalkgräsmarker (6210)"
1910,Kärlväxter,dvärglin,Radiola linoides,Nära hotad NT,,,,x,,,,,,,H-H,,"Rödlistekriterium 2020: A2b; B2ab(iii,iv,v)

Vegetationsklädda havsklippor (1230)

Signalvärde: Högt"
1912,Kärlväxter,filtros,Rosa tomentosa,Akut hotad CR,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D
1913,Kärlväxter,fintandat björnbär,Rubus decurrentispinus,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D1
1914,Kärlväxter,bohusbjörnbär,Rubus dissimulans,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D1
1915,Kärlväxter,slätbjörnbär,Rubus eluxatus,Nära hotad NT,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D1
1916,Kärlväxter,borstbjörnbär/uddbjörnbär,Rubus fabrimontanus,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D1
1922,Kärlväxter,naggbjörnbär,Rubus lamprocaulos,Nära hotad NT,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D1
1924,Kärlväxter,bergumsbjörnbär,Rubus loehrii,Akut hotad CR,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D
1926,Kärlväxter,hallonbjörnbär,Rubus pruinosus,Starkt hotad EN,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D
1928,Kärlväxter,skuggbjörnbär,Rubus sciocharis,Starkt hotad EN,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D
1930,Kärlväxter,polabiskt björnbär,Rubus walsemannii,Nära hotad NT,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D1
1931,Kärlväxter,daggvide,Salix daphnoides,Sårbar VU,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(iii,v)"
1932,Kärlväxter,källblekvide,Salix hastata subsp. vegeta,Sårbar VU,,,,,,,,,,,H-H,,"Rödlistekriterium 2020: A2b; B2ab(ii,iii,v); C1+2a(i)

Signalvärde: Högt

Förekommer i extremrikkärr och fuktängar med källpåverkan och rörligt vatten. Missgynnas av igenväxning."
1934,Kärlväxter,oppdalsbräcka,Saxifraga × opdalensis,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D1+2
1935,Kärlväxter,vattenstånds,Jacobaea aquatica,Sårbar VU,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(iii,v); C1+2a(i)"
1936,Kärlväxter,kavelhirs,Setaria viridis,Nära hotad NT,,,,,,,,,,,0-0,,Rödlistekriterium 2020: A2b
1947,Kärlväxter,glappmaskros,Taraxacum discretum,Starkt hotad EN,,,,,,,,,,,0-0,,Rödlistekriterium 2020: C2a(i)
1948,Kärlväxter,slätmaskros,Taraxacum lissocarpum,Akut hotad CR,,,,,,,,,,,0-0,,Rödlistekriterium 2020: C2a(i)
